,trailer_link,video_id,stats,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,kind,etag,items,pageInfo.totalResults,pageInfo.resultsPerPage
55,https://www.youtube.com/watch?v=u7R3zjLXSp4,u7R3zjLXSp4,"{'viewCount': '3453', 'likeCount': '14', 'dislikeCount': '0', 'favoriteCount': '0', 'commentCount': '0'}",3453,14,0,0,0,,,,,
56,https://www.youtube.com/watch?v=ays4pgVr7Go,ays4pgVr7Go,"{'viewCount': '6077', 'likeCount': '31', 'dislikeCount': '0', 'favoriteCount': '0', 'commentCount': '3'}",6077,31,0,0,3,,,,,
57,https://www.youtube.com/watch?v=u9ioVD15feE,u9ioVD15feE,"{'viewCount': '709329', 'likeCount': '2197', 'dislikeCount': '909', 'favoriteCount': '0', 'commentCount': '183'}",709329,2197,909,0,183,,,,,
58,https://www.youtube.com/watch?v=9xHWrdxZQa0,9xHWrdxZQa0,"{'viewCount': '100143', 'likeCount': '485', 'dislikeCount': '11', 'favoriteCount': '0', 'commentCount': '46'}",100143,485,11,0,46,,,,,
59,https://www.youtube.com/watch?v=jxL67tUPt7Q,jxL67tUPt7Q,"{'viewCount': '1474650', 'likeCount': '5759', 'dislikeCount': '491', 'favoriteCount': '0', 'commentCount': '662'}",1474650,5759,491,0,662,,,,,
60,https://www.youtube.com/watch?v=eTzBIH51Irc,eTzBIH51Irc,"{'viewCount': '121964', 'likeCount': '289', 'dislikeCount': '16', 'favoriteCount': '0', 'commentCount': '22'}",121964,289,16,0,22,,,,,
61,https://www.youtube.com/watch?v=-CKPj4O5_9s,-CKPj4O5_9s,"{'viewCount': '4632346', 'likeCount': '8676', 'dislikeCount': '913', 'favoriteCount': '0', 'commentCount': '1366'}",4632346,8676,913,0,1366,,,,,
62,https://www.youtube.com/watch?v=Cl1AI-3zcnk,Cl1AI-3zcnk,"{'viewCount': '51678', 'likeCount': '625', 'dislikeCount': '6', 'favoriteCount': '0', 'commentCount': '14'}",51678,625,6,0,14,,,,,
63,https://www.youtube.com/watch?v=N3IvTCh24xU,N3IvTCh24xU,"{'viewCount': '25892', 'likeCount': '204', 'dislikeCount': '8', 'favoriteCount': '0', 'commentCount': '15'}",25892,204,8,0,15,,,,,
64,https://www.youtube.com/watch?v=J2sxF5Ul5zg,J2sxF5Ul5zg,"{'viewCount': '66390', 'likeCount': '240', 'dislikeCount': '25', 'favoriteCount': '0', 'commentCount': '16'}",66390,240,25,0,16,,,,,
65,https://www.youtube.com/watch?v=rhxXS5TNEww,rhxXS5TNEww,"{'viewCount': '2609017', 'likeCount': '89564', 'dislikeCount': '665', 'favoriteCount': '0', 'commentCount': '3288'}",2609017,89564,665,0,3288,,,,,
66,https://www.youtube.com/watch?v=LHYlKQSc7rA,LHYlKQSc7rA,"{'viewCount': '653739', 'likeCount': '2335', 'dislikeCount': '133', 'favoriteCount': '0', 'commentCount': '200'}",653739,2335,133,0,200,,,,,
67,https://www.youtube.com/watch?v=to8yh83jlXg,to8yh83jlXg,"{'viewCount': '21405622', 'likeCount': '428775', 'dislikeCount': '5525', 'favoriteCount': '0', 'commentCount': '58585'}",21405622,428775,5525,0,58585,,,,,
68,https://www.youtube.com/watch?v=ZiDbuJh4_Nc,ZiDbuJh4_Nc,"{'viewCount': '111958', 'likeCount': '2160', 'dislikeCount': '29', 'favoriteCount': '0', 'commentCount': '85'}",111958,2160,29,0,85,,,,,
